 48, 64,254,275, 43,  2, 13,196,286,175, 65,181,244, 12,138
 49,267,281,107, 69, 16, 60,123,  3,277,252,198,196, 64,248
 32, 51,263,253, 56,118,100,102,160, 57,211,133, 29, 78, 40
267, 40,300,106, 17,187,  5,254,160,142,216,185,143, 74, 94
289, 35, 54, 99,175,136, 14,104, 45, 16,218, 88,187,104,121
 11,247,186,287,151, 12,  2,170,201, 66,166,105, 55,230, 96
223, 74,275,292,126,174,236, 36,205, 19, 25,288,239,174, 40
 96,294, 61,  8,105,256,181,191,157,155,294,226,144,273,118
244,147,237,165,173, 13,124,170,157, 41, 20, 49, 21, 75,181
  6, 98, 10,163,250,251,270,171,178,187,151, 12,113,270, 48
212,168, 14,249,253, 26,220, 33,294,248,208, 59,220,149, 53
 89,148,295, 33, 89,108,  8,234,283, 88,151, 56,238,132,125
100,160,116,232, 98, 16,142, 91,182,253,116,231,171,248,282
 85,172,231, 99,155,166,245, 60,105,185,126,150,205,122, 83
154,171,157, 99,105,281, 25, 31,282, 93, 74,255,250,274,193
